date,time_12hr,time_24hr,headline,category
"FEB 26, 2022",12:13 AM,00:13,"Russia-Ukraine war LIVE updates: NATO leaders meet to reassure allies near Russia, Ukraine; Air India to operate 3 flights to Bucharest to evacuate Indians",WORLD
"FEB 25, 2022",10:25 PM,22:25,CNBC-TV18 Classroom: What should be your options trading exit strategy? Here's an explainer,MARKET
"FEB 25, 2022",9:47 PM,21:47,"Ukraine-Russia conflict: From sunflower oil to beer, what consumer goods could get costlier",MARKET
"FEB 25, 2022",9:41 PM,21:41,IOC to be dropped from Nifty 50 from March 31; Apollo Hospitals to move in,MARKET
"FEB 25, 2022",9:23 PM,21:23,CBI says NSE Himalayan yogi none other than Anand Subramanian,MARKET
"FEB 25, 2022",8:39 PM,20:39,"Gold bond issue price fixed at Rs 5,109 per gm; subscription opens Monday",MARKET
"FEB 25, 2022",8:11 PM,20:11,News Wrap Feb 25: Ukraine crisis throws global central banks' rate-hike plans off track; CBI says NSE Himalayan yogi is Anand Subramanian; Delhi lifts COVID-19 curbs,BUSINESS
"FEB 25, 2022",7:38 PM,19:38,"Top News Podcast: Air India flights to evacuate Indians stranded in Ukraine; Delhi lifts COVID-19 curbs, Sensex, Nifty rebound and more",BUSINESS
"FEB 25, 2022",7:17 PM,19:17,Religare Broking launches ‘Pre-Apply LIC IPO’ app; check details,MARKET
"FEB 25, 2022",7:04 PM,19:04,"Jai Bala is negative on banks, says Nifty may correct to 14,000 in medium term",MARKET
"FEB 25, 2022",5:42 PM,17:42,"As broader markets rebound, smallcap index on edge of bear zone",MARKET
"FEB 25, 2022",4:18 PM,16:18,Top News Podcast: UK says Russian invasion of Ukraine has begun; India says no impact on trade yet; global markets sell-off and more,BUSINESS
"FEB 25, 2022",4:10 PM,16:10,"Stock Market Highlights: Sensex ends 1,329 pts higher, Nifty50 reclaims 16,650 as market rebounds; Tata Steel, IndusInd surge 6%",MARKET
"FEB 25, 2022",3:44 PM,15:44,Russia-Ukraine crisis can accelerate supply side issues: FADA,AUTO
"FEB 25, 2022",3:40 PM,15:40,"Closing Bell: Sensex, Nifty50 halt 7-day losing streak, recover half of previous day's losses; Russia-Ukraine crisis remains in focus",MARKET
"FEB 25, 2022",3:40 PM,15:40,"DLF, Indus Towers and more: Key stocks that moved the most on Feb 25",PHOTOS
"FEB 25, 2022",3:37 PM,15:37,"Your Stocks: Here's what experts say on HDFC AMC, Cipla, GAIL, Castrol",MARKET
"FEB 25, 2022",3:11 PM,15:11,T+1 settlement: A list of 100 stocks moved to new system,MARKET
"FEB 25, 2022",2:49 PM,14:49,"Russia-Ukraine war: Long-term impact of sanctions, Russian retaliation a big question, says expert",MARKET
"FEB 25, 2022",2:34 PM,14:34,Expect gold prices to settle around $1900-1980 in short term: Metals Focus,MARKET
"FEB 25, 2022",1:38 PM,13:38,"ONGC up 2%, Indraprastha Gas jumps nearly 5%; here's why oil and gas shares are surging",MARKET
"FEB 25, 2022",1:27 PM,13:27,Don’t expect crude to stay above $100 for long: Bank Julius Baer,MARKET
"FEB 25, 2022",12:52 PM,12:52,CLSA upgrades rating on DLF shares; stock jumps 8%,MARKET
"FEB 25, 2022",12:48 PM,12:48,Gas prices continue to climb higher; check details,MARKET
"FEB 25, 2022",12:36 PM,12:36,Apollo Hospitals Enterprise to replace IOC in Nifty 50 index; shares rally 8%,MARKET
"FEB 25, 2022",12:36 PM,12:36,"Jefferies reiterates 'buy' on Indus Towers, cuts target price",MARKET
"FEB 25, 2022",12:31 PM,12:31,"Adani Power to get Rs 4200 crore compensatory tariff from 3 Rajasthan discoms, rules Supreme Court; shares rally 12%",LEGAL
