Date,Product,Stars,Title,Review
2/28/2015,iRobot Roomba 650 for Pets,5,Five Stars,You would not believe how well this works
01/12/2015,iRobot Roomba 650 for Pets,4,Four Stars,You just walk away and it does the rest
12/26/2013,iRobot Roomba 650 for Pets,5,Awesome love it.,You have to Roomba proof your house but once that is done it is awesome. It's like having a pet that cleans.
08/04/2013,iRobot Roomba 650 for Pets,3,Love-hate this vaccuum,"Yes, it's a fascinating, albeit expensive, bit of technology. That said, it is a pain in the butt to clean - every time, if you have the model for pets. Cat hair will clog it in one small room. On the plus side, it gets under the bed, where there could be more pet hair than I care to admit. Can two short haired cats shed faster than Roomba can clean? Will my patience wear out, before my picks, and tweezers and screwdriver? Stay tuned..."
12/22/2015,iRobot Roomba 650 for Pets,5,This vacuum is fantastic!!,"Years ago I bought one of the original Roomba's and was underwhelmed - it was slow and got stuck in corners.  But I'm lazy at heart, so decided to try again - and this model is amazing!!  First - no problem in corners - it spins and backs out.  (It also has a spinning brush on the side which whisks all those dust devils out of the corner into the vacuum).  Also, it goes easily from carpet to hardwood floor to doormat and back.  If it encounters a cord on the floor, it backs up and comes back in from another angle.  And I know it's weird to think about - how the heck does it figure out your floor plan, especially when it seems to go in random directions?  It all gets down to math, my friends, and the engineers at Roomba worked it out.  We use it for individual rooms (like our muddy utility room), and for entire house runs.  It's great if you have a dog (you wouldn't believe how much dog hair is under your couch).  Easy to clean, easy to set up and definately easy to use.  (You push a button and walk away!)  Great buy."
12/27/2015,iRobot Roomba 650 for Pets,5,Wow!,"Wow.Wow.  I never knew my floors were so dirty before this!  I've set my ""Room by"" to clean every day.  I am astounded each day when I empty the bin.  Where did all this come from??  I have 3 small dogs and can't believe I've spent years living in what I would now consider gross based on what I dump out each day.  I haven't had to vacuum in weeks!  I am going to get this for my 70+ parents. Best invention ever!!!"
8/17/2015,iRobot Roomba 650 for Pets,1,Terrible Product - Ruined our Hardwood Floors!,"Wow.. I don't know what to say. This thing worked fine for about a week, then started scratching our hardwood floors in horrible ways across the entire house - by the time we realized it was doing it, the damage was done. The saddest part is that we recently refinished the floors a few months ago (dozens of labor hours + thousands of dollars), so they were immaculate until this horrible robot ruined them. I bought a Roomba back in 2007 for use on hardwoods and it worked fine for years, until it broke - I'm not sure what happened in this case, but it's really sad and definitely will keep me from ever buying one of these again or recommending it to others. The photo attached is only of a small section and doesn't even come close to doing the visible damage justice."
12/28/2015,iRobot Roomba 650 for Pets,5,Super-impressed by how well it works!,"Wow, wow, WOW!  I wanted to get one of these a few years ago, but I thought that they may just be 'gimmicky' and not work very well.  After reading the reviews a few months ago, I decided that I would take the plunge and get it, as I figured that even if it was just 'ok', it would suffice in between regular vacuuming.  Wow, am I impressed.  We have a pretty clean household and vacuum regularly.  However, the first three times this thing ran it almost filled up the hopper.  It did an awesome job picking up hair and lint that wasn't picked up by our Dyson.  Set it upstairs and the same results -- super deep clean of our house.  I've been telling everyone I know about how well this works -- and as a bonus -- had a friend over for a Christmas party and he said he's had one for 4 years and it's been working great, although his battery is starting to wear down.  But ... if we can have this last 4 years, I'll be thrilled!  HIGHLY RECOMMEND!"
1/19/2014,iRobot Roomba 650 for Pets,5,LOVE THIS,"Wow, the Roomba is the best christmas gift I've ever gotten.  I have 2 cats and 2 dogs and vacuumed regularly but there was still so much hair and dust around the house.  Now all I do to vacuum a room is press a button.  I have to empty the roomba every 15-20 minutes while it runs because it picks up SO MUCH HAIR.  Its amazing.  We love this vacuum! We run it all the time and it gets under chairs couches and beds.  Highly highly recommend."
07/02/2015,iRobot Roomba 650 for Pets,5,Stress is bad; Roomba is great.,"Wow, it changes your life. First of all, after a week, EVERYTHING is cleaner. No tufts of pet fur on the AC vents. No more spot vacuuming behind the entertainment center to prolong electronics life. There's just no more fur. It runs on its daily schedule and gets everything.Dirty homes cause stress. Stress reduces life expectancy. Do yourself a favor; stop pinching pennies because it's just a vacuum. It's not just a vacuum; it's peace of mind."
11/26/2014,iRobot Roomba 650 for Pets,5,Roomba!!,Wow!! is all I can say. I love it!!
02/12/2015,iRobot Roomba 650 for Pets,5,How did I live without this!!?!,"Wow! Now that I don't have to sweep and vacuum up dog hair every day, my life is freed up for activities. But, what will I do with all of this newfound free time? I will have to find some new hobbies, maybe even become Renessaince Festival enthusiast.Seriously though, this little guy is amazing. I have an Australian Shepherd and Dark, Dark, DARK hardwood floors. He sheds like nobody's business,  especially in the Houston heat. I was getting tired of my apartment looking like something out of The Good, The Bad, and The Ugly with all of these little 'hairball' tumbleweeds rolling around.Then, this brown box marked Amazon Prime shows up and I open it up to reveal my night in shining armor. A little, round, robotic vacuum that would cure my apartment of this perpetual Wild, Wild West vibe. Buster, as I named my little robot, is amazing. He zips around my apartment everyday at 10am while I am at work and I get to come home to emaculate, clean, HAIRLESS floors! It's a miracle.The 2 minutes of emptying his dust bin that you have to do everyday is nothing compared to the joy he brings you. I HIGHLY recommend buying one of these. You will wonder how you ever lived without it. I also reccomend you attach a mustach or nice hat to him and give him a name."
11/27/2015,iRobot Roomba 650 for Pets,5,Would not be without one now that I have hardwoods ...,"Would not be without one now that I have hardwoods everywhere. I nicknamed it ""Robo.""  Not very clever, but kind of animates it for me."
1/20/2014,iRobot Roomba 650 for Pets,5,A big help!,"Would not be without it again.  The real test will be during  shedding season, for now -it is wonderful!Yippee for me!"
7/18/2015,iRobot Roomba 650 for Pets,3,tile ) like a champ,"Worth it even with the hiccups .Pros: no more sweeping , seriously this things cleans floors ( hardwood , carpet, tile ) like a champ ...... Does what it's supposed except when it doesn'tCons :Won't dock itself hasn't since we've owned it , so we just plug it to charge which means we can't program it to clean on a scheduleNeeds frequent maintenance to keep the side brush clean and spinning . Have had to contact support for one new wheel after the machine would only run in a circleEven after all that I would still recommend it"
12/29/2014,iRobot Roomba 650 for Pets,5,Works wonderful!! Had to raise a few pieces of ...,Works wonderful!!  Had to raise a few pieces of furniture so it wouldn't get stuck.  Cleans great as scheduled.  Worth the money>
02/08/2015,iRobot Roomba 650 for Pets,5,It's a robot vacuum!,"works well. It is very nice to come home to a clean house. We have dark hardwood floors and have a German Shepherd and two long-haired cats. The roomba is full or hair and dust every day when we get home, but the floors are clean."
01/01/2015,iRobot Roomba 650 for Pets,4,Happy with its,Works well. Happy with its performance
10/10/2015,iRobot Roomba 650 for Pets,4,Good substitue for occassional vacuuming,"Works well if you turn it on daily and is probably a good substitute to weekly vacuuming.  It does not outdo a vacuum pound for pound for is definitely a convenience. Not cheap!  It's easy to use and does snag it self too often.remember to clean it often for best results.  However be very very careful if you have liquid messes on the floor.  Check to make sure no liquid soils around. If you don't this will run over any messes and pretty much spread it all over the house, leaving you with a bigger headache than before.  Overall it's tech that is worth getting."
10/14/2014,iRobot Roomba 650 for Pets,2,Two Stars,Works well but I was shocked when the vacuum was deliver with heaps of dog fur!!
02/05/2015,iRobot Roomba 650 for Pets,5,Five Stars,works well
10/20/2014,iRobot Roomba 650 for Pets,5,Five Stars,"Works very well, you just need to clean it out after each use."
04/07/2015,iRobot Roomba 650 for Pets,4,Works great and at a great price,"Works really well! Docks its self almost every time and does a great job cleaning. Needs to be emptied often, but still beats having to vacuum everyday. Has no problem picking up hair from my two dogs."
12/23/2014,iRobot Roomba 650 for Pets,5,We have all hard floors but it goes over the various rugs just fine. We have two dogs and two cats,Works really well and is much more thorough than I am.  We have all hard floors but it goes over the various rugs just fine.  We have two dogs and two cats.  One of the best things I've ever purchased.
3/27/2015,iRobot Roomba 650 for Pets,4,Doin the Roombaaaaaa!,"Works like a champ. Does its work and goes home to charge. Very cool product. The dogs don't seem to mind it either. They seem indifferent, the rascals.We have a very dark area rug with a goldish paisley pattern it doesn't like. It gets confused on it and will stop. It thinks it's going over a cliff or something. Other than that it is really rather remarkable. Works awesome on the hardwoods. Collects all the dog hair like magic."
10/23/2015,iRobot Roomba 650 for Pets,4,Four Stars,Works great. Will get tangled in cords but other than that a great product. My wife loves it.
12/24/2014,iRobot Roomba 650 for Pets,5,Works Great. Sometimes gets cords tangled so you have to ...,"Works Great. Sometimes gets cords tangled so you have to ""childproof cords"". I would buy again and recommend. Great back saver.."
3/29/2013,iRobot Roomba 650 for Pets,4,"Yep, it really works",Works great. Push the button and head to the store and when you get back your floor is clean. It's a little noisier than I hoped and has trouble getting onto our rug which is why I only give it 4 stars. I wouldn't use it for carpet floors. It docks well and does a great job going around chair legs and corners.
09/07/2015,iRobot Roomba 650 for Pets,4,Works great. I have big tile grout joints and it ...,"Works great. I have big tile grout joints and it handles them fine. It almost never makes it home, so my daughter and I get to have fun trying to find ""Linda"""
05/08/2014,iRobot Roomba 650 for Pets,5,Great machine,Works great.  My only complaint would be that it is a little big to fit under some furniture bir I guess I just need to pull out the broom and sweep the dog hair out to the open area.
01/01/2015,iRobot Roomba 650 for Pets,5,Works great. Cleans extremely well picking up fine lint and ...,"Works great.  Cleans extremely well picking up fine lint and dust on hard wood floors and carpet.  Battery life is very good too between charges.  I have not had to clean out the brushes, only empty out the dust receptacle and vacuum the filter."
10/23/2014,iRobot Roomba 650 for Pets,5,Five Stars,Works great.
2/25/2015,iRobot Roomba 650 for Pets,5,My cleaning wizard!,"Works great, I scheduled it to run twice a week. It learned every inch of the house. I have a labrador and two black cats, it picks up all pet hair. My floors are tile and hardwood and they look great. Make sure to clean out hair and dirt after each cleaning cycle. Great investment."
03/05/2015,iRobot Roomba 650 for Pets,5,Five Stars,"Works great, fast shipping."
06/02/2015,iRobot Roomba 650 for Pets,3,"Works great, but we are less than 6 months into ...","Works great, but we are less than 6 months into use. (First sporadically when I remembered to start and 2 weeks on an everyday setting) and our wheel is broken. Customer service was friendly and did troubleshoot, but very disappointing that such an investment would break so quickly. Really is a game changer in terms of vacuuming if you have dogs, but concerned how long it will last given this problem."
3/29/2015,iRobot Roomba 650 for Pets,5,Five Stars,Works great! Would like to own two of them.
8/16/2015,iRobot Roomba 650 for Pets,5,wooden floors stay clean.,Works great! This is a fine product. I've had this for 3 months now and it really helps me keep my wooden floors clean.
